d3mIndex,Hall_of_Fame
2,0
9,0
14,0
15,0
21,0
24,1
25,0
27,2
40,0
44,0
49,0
62,0
75,0
99,0
103,0
107,0
112,0
117,0
126,0
127,0
128,1
131,2
136,0
138,0
139,0
148,0
152,0
162,0
165,0
171,0
172,0
173,0
180,0
182,0
183,0
187,0
202,2
211,0
212,0
216,0
227,0
231,0
232,0
233,0
236,0
237,0
238,0
248,0
252,0
259,0
264,0
266,0
276,0
281,0
288,0
289,0
298,0
304,2
309,0
316,0
319,0
322,2
329,0
334,0
336,0
344,0
350,2
358,0
361,0
375,0
382,0
388,0
392,0
428,0
429,0
434,0
435,0
437,0
441,0
442,0
445,2
448,0
451,0
452,0
453,0
454,0
458,0
470,0
471,0
473,0
495,0
507,0
510,0
514,0
517,1
519,0
522,0
528,0
530,0
541,0
545,0
549,0
559,0
567,0
568,0
569,0
579,0
583,0
602,0
612,0
618,0
624,0
626,0
627,0
629,0
633,2
634,2
639,0
645,1
646,0
657,0
663,0
671,0
680,0
684,0
695,2
696,0
697,0
700,0
705,0
714,0
715,0
716,0
719,2
720,0
721,0
722,0
723,0
726,0
733,0
734,0
738,0
750,0
758,1
760,0
762,0
765,0
780,0
781,0
785,0
788,0
792,0
802,0
810,0
814,0
827,0
832,0
833,0
836,0
849,0
852,0
855,0
856,1
862,0
863,0
866,0
878,0
881,0
883,0
892,0
893,0
903,0
909,0
919,0
925,0
930,0
942,0
945,0
947,0
951,0
954,0
961,0
962,0
968,0
969,0
971,0
974,0
982,0
986,0
987,0
989,0
1006,0
1009,2
1013,0
1025,0
1026,0
1050,0
1053,0
1054,0
1055,0
1056,0
1061,0
1069,0
1074,0
1078,0
1084,0
1096,1
1100,0
1102,2
1114,0
1118,0
1119,0
1122,0
1124,0
1125,0
1128,0
1129,0
1133,0
1136,0
1140,0
1147,0
1153,0
1160,0
1165,0
1168,0
1171,0
1173,0
1180,0
1183,0
1185,0
1187,1
1192,0
1196,0
1204,0
1206,0
1207,0
1215,0
1217,0
1222,0
1223,0
1226,0
1234,0
1237,0
1240,0
1243,0
1244,0
1253,0
1259,0
1260,0
1261,2
1262,1
1264,0
1267,0
1272,0
1273,0
1279,0
1296,1
1301,1
1306,0
1307,0
1319,0
1321,0
1327,0
1328,0
1329,0
1335,0
1338,0
